tripduration,starttime,endTime,startName,endName,bikeid,usertype,citiStationId,citiStationDocks,startLat,startLon,id1,endLat,endLon
198,10/31/13 0:00,10/31/13 0:03,2 Ave & E 31 St,E 25 St & 1 Ave,16427,Subscriber,528,39,40.74290902,-73.97706058,174,40.7381765,-73.97738662
1467,10/31/13 0:00,10/31/13 0:24,Metropolitan Ave & Bedford Ave,1 Ave & E 15 St,19229,Subscriber,539,31,40.71534825,-73.96024116,504,40.73221853,-73.98165557
181,10/31/13 0:00,10/31/13 0:03,2 Ave & E 31 St,E 25 St & 1 Ave,17928,Subscriber,528,39,40.74290902,-73.97706058,174,40.7381765,-73.97738662
653,10/31/13 0:00,10/31/13 0:11,9 Ave & W 14 St,9 Ave & W 14 St,19898,Subscriber,404,39,40.7405826,-74.00550867,404,40.7405826,-74.00550867
390,10/31/13 0:00,10/31/13 0:07,W 20 St & 11 Ave,E 11 St & 2 Ave,16759,Subscriber,459,49,40.746745,-74.007756,237,40.73047309,-73.98672378
455,10/31/13 0:01,10/31/13 0:08,E 58 St & 3 Ave,Broadway & W 58 St,17947,Subscriber,305,33,40.76095756,-73.96724467,457,40.76695317,-73.98169333
729,10/31/13 0:01,10/31/13 0:13,W 14 St & The High Line,St Marks Pl & 1 Ave,15880,Subscriber,225,37,40.74195138,-74.00803013,438,40.72779126,-73.98564945
1379,10/31/13 0:01,10/31/13 0:24,W 59 St & 10 Ave,Pershing Square N,19762,Subscriber,422,55,40.770513,-73.988038,519,40.75188406,-73.97770164
447,10/31/13 0:01,10/31/13 0:09,W 41 St & 8 Ave,W 54 St & 9 Ave,18919,Subscriber,477,59,40.75640548,-73.9900262,423,40.76584941,-73.98690506
732,10/31/13 0:02,10/31/13 0:14,Lafayette St & E 8 St,2 Ave & E 31 St,19167,Subscriber,293,55,40.73028666,-73.9907647,528,40.74290902,-73.97706058
